#Y dist(nm)	Y force(pN)
0.000000	0.095900
-7.470500	0.551900
-4.431583	0.342100
1.534050	-0.010300
-4.455783	0.361000
-3.119483	0.248200
-5.512400	0.375800
-1.590050	0.151700
-5.284550	0.366500
-6.700767	0.446400
-8.098733	0.542200
-7.546167	0.519000
-6.204867	0.442800
-4.562717	0.349500
-2.485467	0.204900
-1.373350	0.136400
-0.788383	0.125500
-4.889783	0.359800
-1.405583	0.139900
3.968900	-0.174400
-7.768200	0.514100
0.284317	0.082900
0.210717	0.040300
-1.481517	0.141900
-7.426983	0.487000
-10.191750	0.651500
-4.852567	0.346500
-10.443900	0.683900
-4.826067	0.325500
-15.985733	0.984400
-3.668800	0.262700
-4.418217	0.347400
-11.439383	0.762100
-12.265783	0.799900
-8.807217	0.582900
-1.601667	0.148500
3.357117	-0.139100
-3.634083	0.276700
-6.090067	0.407400
-3.705733	0.266800
-4.279583	0.312700
-3.543367	0.278400
-7.423483	0.496900
-13.511033	0.858100
-7.339167	0.502500
-11.575317	0.784200
-2.494617	0.228900
-9.746200	0.651500
-6.413233	0.465400
-0.531017	0.117000
-3.717583	0.318100
-0.536933	0.094600
-2.732983	0.220600
-2.036333	0.206500
4.063783	-0.150900
-5.070017	0.372000
-5.300700	0.391400
-1.145983	0.160300
6.889817	-0.332900
-8.185433	0.570700
-0.856000	0.115100
-9.074517	0.583800
-3.535867	0.257400
-2.324417	0.170100
-7.545533	0.489100
3.408750	0.024200
0.390383	0.198300
8.216967	-0.280400
3.990200	-0.011500
2.455883	0.134700
-6.623250	0.692000
1.340717	0.241000
7.741600	-0.142600
-0.240667	0.320100
0.995050	0.253700
-0.781233	0.382300
1.907367	0.196000
3.619683	0.089700
-0.481250	0.415100
0.662233	0.378000
2.780733	0.210900
-0.194233	0.401800
13.246850	-0.298900
8.900267	-0.042200
-3.263117	0.697200
-0.733650	0.543800
3.403000	0.293900
-1.139417	0.556500
-4.706100	0.784400
4.232433	0.264300
5.688083	0.326100
1.016650	0.624500
15.338950	-0.245800
9.747200	0.105200
22.588000	-0.661900
15.860517	-0.260300
7.362717	0.228400
7.033517	0.266800
-2.803400	0.974600
8.287650	0.307400
-1.887033	0.933400
1.730917	0.708400
10.232733	0.232800
18.148183	-0.168900
7.038200	0.485300
12.078633	0.221400
11.876567	0.239500
6.088050	0.578600
16.991550	-0.034900
19.569750	-0.096400
11.440617	0.357100
11.643483	0.328800
17.582950	0.009500
18.187450	0.017600
13.756433	0.280800
12.040567	0.414400
10.460700	0.517700
11.539450	0.464000
16.354217	0.169900
17.673617	0.153100
11.224383	0.543300
17.140900	0.261200
14.522800	0.402200
8.951267	0.721300
6.403100	0.871100
16.129167	0.429100
15.386483	0.438300
9.966917	0.782500
14.364900	0.531200
14.202533	0.544500
19.911833	0.278700
12.075017	0.746200
11.214217	0.824200
16.178917	0.522700
20.546367	0.238600
18.777817	0.366100
21.912233	0.264300
14.266433	0.757500
13.675917	0.802000
17.289917	0.600700
29.523200	-0.143800
9.645717	1.032700
10.401217	1.012600
16.886767	0.650200
25.708317	0.124900
19.143267	0.516700
