#Y dist(nm)	Y force(pN)
3454.939283	20.136100
3470.063567	19.453700
3469.432850	19.515300
3468.277450	19.596900
3464.041700	19.849200
3473.685083	19.404700
3474.075250	19.448100
3474.539967	19.457900
3475.679617	19.417100
3471.590733	19.678900
3469.940500	19.791000
3466.295300	20.094300
3476.028100	19.665900
3475.941683	19.724200
3489.045550	18.999900
3482.563750	19.396500
3486.536917	19.140500
3494.808150	18.664200
3487.650833	19.271200
3493.650317	18.926900
3495.127517	18.849500
3496.261917	18.789800
3494.940433	19.007500
3492.006750	19.239300
3484.207317	19.772600
3498.615967	18.903200
3500.927500	18.790800
3492.278800	19.297500
3490.269383	19.513000
3489.909583	19.593700
3497.812667	19.153700
3497.132800	19.241400
3491.684783	19.579600
3492.782917	19.538900
3486.995533	19.931200
3497.798150	19.428300
3493.169983	19.732600
3499.406050	19.416000
3489.695150	20.003400
3496.618583	19.625800
3505.161283	19.138900
3505.770983	19.269100
3498.647783	19.716400
3495.320500	19.935900
3502.083017	19.539800
3503.911883	19.600300
3498.685467	19.922000
3508.233450	19.375800
3507.191783	19.459900
3505.917417	19.647500
3515.452650	19.137300
3493.679583	20.517400
3506.790567	19.749500
3512.280417	19.462100
3506.952550	19.805400
3507.932900	19.846800
3507.694767	19.945700
3507.017417	20.020700
3513.785733	19.659700
3512.976200	19.730700
3511.162083	19.851700
3512.327600	19.833300
3510.737150	20.006700
3519.180317	19.532300
3515.684483	19.770700
3510.008167	20.125100
3515.987550	19.828200
3514.257750	19.970400
3517.426683	19.941700
3517.871750	19.942200
3527.581400	19.426500
3523.003950	19.720200
3521.425717	19.826600
3514.521883	20.265700
3518.021067	20.069000
3517.812100	20.093400
3528.926217	19.584500
3521.943767	20.091500
3518.888133	20.234200
3533.547400	19.350600
3534.373983	19.300600
3526.818217	19.764800
3532.146200	19.407900
3535.316667	19.185200
3521.016500	19.998900
3532.763100	19.298700
3531.922983	19.355800
3528.212083	19.576000
3523.006750	19.848300
3524.029050	19.688700
3526.890633	19.523500
3525.234583	19.625200
3531.717250	19.230900
3518.988800	19.861500
3525.469567	19.481300
3524.315833	19.556200
3520.169617	19.811600
3526.974567	19.429100
3527.237267	19.421600
3519.783633	19.682800
3528.406633	19.115500
3527.588883	19.160500
3528.374767	19.104800
3512.274417	20.089400
3519.483017	19.672400
3522.465583	19.498300
3523.322200	19.461600
3521.989333	19.402000
3521.361400	19.427100
3522.693583	19.339300
3523.508433	19.265800
3517.294750	19.520100
3516.713333	19.518400
3519.309200	19.353000
3521.265900	19.220400
3519.338450	19.346400
3514.651700	19.647300
3514.879550	19.547100
3506.278067	19.952000
3509.146883	19.791700
3515.255583	19.432900
3510.998083	19.677400
3511.406283	19.636300
3511.270467	19.669400
3521.435917	19.041800
3514.278883	19.469200
3518.152250	19.090800
3509.962750	19.541100
3504.524450	19.862700
3502.508650	19.992900
3515.727733	19.188100
3513.479650	19.314600
3512.681933	19.377700
3509.252050	19.585800
3507.238133	19.588300
3503.777117	19.759400
3513.565950	19.168800
3506.903650	19.545600
3503.490333	19.680700
3511.382750	19.154400
3504.681650	19.536600
3508.958550	19.282200
3502.614483	19.615300
3497.459467	19.945700
3501.316433	19.666300
3501.471767	19.648700
3502.238133	19.488400
3503.149450	19.188300
3498.465517	19.468400
3492.142700	19.834500
3502.019983	19.159300
3501.311050	19.104600
3500.897733	19.100500
3502.978167	18.980000
3498.604417	19.213700
3499.167817	19.171700
3502.851217	18.927800
3506.414617	18.714200
3500.836117	19.016300
3498.341467	19.031300
3496.890867	19.089200
3492.241133	19.330900
3492.949550	19.272300
3498.330683	18.920500
3482.513767	19.879400
3492.498567	19.221500
3487.967300	19.466700
3497.337050	18.886500
3491.191033	19.261600
3495.205517	18.972800
3493.669483	19.051900
3495.049600	18.955200
3490.684567	19.214300
3484.431250	19.383600
3489.091650	18.982200
3492.351300	18.734100
3489.840150	18.896700
3489.661017	18.890600
3481.999050	19.348800
3483.931750	19.126200
3477.667683	19.382500
3479.064667	19.292900
3476.804500	19.448700
3482.649667	19.054100
3482.643417	18.930800
3470.470750	19.672500
3481.639217	18.990200
3477.223967	19.253000
3484.488433	18.812800
3481.306217	19.003400
3479.568850	19.109400
3480.421350	19.063500
3484.157867	18.845300
3486.909017	18.662000
3481.637833	18.660700
3476.705617	18.919700
3481.423200	18.591300
3477.918600	18.783300
3473.430883	18.970600
3473.953000	18.901200
3471.300450	19.048800
3469.576567	19.160300
3463.633150	19.506900
3462.019117	19.625300
3471.665833	18.986800
3465.697883	19.252000
3467.025617	19.153700
3471.696883	18.834400
3474.479950	18.680400
3467.240050	19.105200
3463.492650	19.347000
3463.044800	19.362000
3460.034583	19.495900
3461.347667	19.326500
3465.962100	19.057800
3457.741800	19.522500
3459.955267	19.382900
3471.337300	18.714900
3469.144683	18.827200
3460.534850	19.136400
3467.504700	18.676800
3465.787050	18.753900
3460.761800	19.068300
3464.551983	18.842500
3457.804783	19.242100
3463.832617	18.891500
3457.568317	19.280900
3455.156250	19.105800
3452.095717	19.287500
3462.298033	18.681700
3462.055567	18.680900
3457.321917	18.855800
3459.283633	18.689500
3460.264967	18.605600
3452.336917	19.077800
3453.765183	19.003600
3462.728567	18.466400
3451.366700	19.088400
3449.352183	19.178800
3452.960817	18.957200
3449.139800	19.145700
3447.778850	19.234200
3450.099400	19.097400
3449.371167	19.071800
3445.511367	19.129700
3448.314600	18.949200
3454.009783	18.605200
3448.729100	18.913800
3443.410283	19.231000
3443.250433	19.247500
