#Y dist(nm)	Y force(pN)
0.000000	1.131900
4.657650	0.854700
2.233200	1.000800
8.624617	0.593900
10.500967	0.467300
-2.054733	1.064600
1.413050	0.622800
5.825683	0.344500
4.916850	0.370200
-0.319117	0.597700
-5.995383	0.844700
-9.409750	1.033500
-13.656000	1.284900
-8.534650	0.978600
4.399383	0.185500
-6.983250	0.867600
-8.758267	0.975700
-9.541667	0.985900
-0.070917	0.133600
-10.458567	0.732100
-8.731700	0.564600
-8.309400	0.506400
-8.304083	0.467300
-11.054933	0.617900
-11.555333	0.654200
-13.193567	0.746200
-4.704417	0.203500
-13.413467	0.712300
-13.662883	0.731300
-13.049783	0.673100
-20.463783	0.946100
-23.123883	0.989000
-28.500233	1.287800
-15.568333	0.487700
-13.866917	0.368800
-16.721450	0.526800
-12.320067	0.239500
-15.309200	0.400200
-16.000100	0.200400
-26.649683	0.746900
-21.756783	0.426800
-26.486667	0.685000
-31.123683	0.970100
-29.580150	0.868500
-25.356517	0.617200
-30.063400	0.883800
-30.049067	0.871300
-36.071717	1.149100
-27.792400	0.645000
-23.785017	0.376600
-27.333867	0.555700
-25.649950	0.357900
-27.015350	0.399600
-35.314300	0.815100
-33.154333	0.682100
-34.830633	0.757100
-38.029767	0.936100
-34.441833	0.666200
-28.673583	0.303800
-28.086333	0.233300
-34.231700	0.572700
-35.041583	0.605300
-33.811417	0.508900
-35.046483	0.596900
-34.981150	0.552000
-36.285633	0.521900
-36.086733	0.314300
-38.537550	0.424500
-40.179167	0.474700
-31.881683	-0.030700
-37.049250	0.259500
-41.399067	0.520900
-48.843233	0.951200
-41.469483	0.446600
-54.012017	0.926500
-50.955433	0.738500
-47.568983	0.541400
-48.158567	0.539200
-47.586583	0.369800
-39.318683	-0.188200
-51.448450	0.527700
-57.263667	0.864100
-56.603733	0.831200
-55.057550	0.739800
-45.766600	0.007500
-52.793867	0.340600
-63.549817	0.964900
-54.116900	0.431700
-56.297433	0.546200
-61.674567	0.839800
-49.891450	0.138000
-52.172233	0.251300
-56.693617	0.418600
-65.597500	0.782400
-56.844433	0.254000
-58.759050	0.329400
-55.839150	0.179100
-61.600617	0.520300
-61.215033	0.482900
-57.995183	0.284000
-61.411850	0.460500
-66.714417	0.653200
-68.771317	0.782200
-67.142267	0.655900
-61.910167	0.329800
-58.687800	-0.024000
-65.392550	0.339600
-71.392983	0.677300
-65.616233	0.317600
-70.233400	0.566100
-72.739567	0.701200
-70.346533	0.410600
-73.378283	0.521600
-70.104833	0.313700
-72.942733	0.433700
-73.558633	0.473900
-65.663650	-0.009300
-71.017050	0.242400
-67.209383	-0.022000
-73.590150	0.327000
-78.781917	0.612700
-75.613667	0.412900
-74.529267	0.309100
-73.760067	0.273100
-70.648217	0.040900
-78.533033	0.426200
-80.319050	0.318000
-77.134800	0.091800
-77.002867	0.065200
-77.686083	0.066800
-83.265067	0.355600
-81.379150	0.249900
-83.417933	0.336500
-87.331900	0.549000
-89.317900	0.396600
-87.438800	0.259500
-97.633033	0.853400
-99.831683	0.992900
-102.912400	1.184400
-98.155617	0.908800
-95.334700	0.715200
-91.200633	0.464300
-97.489117	0.531400
-100.731867	0.739900
-99.643917	0.657400
-98.079917	0.571300
-104.521000	0.827700
-101.818667	0.648100
-99.899367	0.533200
-99.366017	0.492700
-93.258900	0.046200
-97.170850	0.197700
-95.213000	0.055200
-99.925467	0.334000
-90.804633	-0.223900
-104.087317	0.550900
-99.507567	0.270100
-103.731083	0.491300
-105.018367	0.566800
-103.801133	0.493100
-103.889433	0.415400
-109.531533	0.509300
-111.181183	0.587900
-111.776917	0.625900
-115.216433	0.830600
-112.127500	0.644700
-110.661750	0.548700
-105.187483	0.224000
-106.543333	0.303200
-106.510483	0.140000
-110.133417	0.315100
-101.423350	-0.223200
-114.928017	0.566800
-109.540983	0.161600
-116.004900	0.533100
-112.655183	0.307400
-119.396617	0.682000
-109.492400	0.028200
-116.130667	0.323500
-118.254200	0.440400
-114.502517	0.181300
-118.948433	0.392000
-118.674900	0.340200
-117.126333	0.237800
-117.055417	0.210100
-116.439800	0.160800
-123.859017	0.582700
-124.059383	0.607400
-128.791300	0.893100
-130.683950	1.008000
-120.068667	0.376600
-121.590867	0.454900
