#Y dist(nm)	Y force(pN)
3386.416183	20.007900
3393.911050	19.755500
3392.670983	19.855800
3400.239750	19.421900
3399.173550	19.513700
3397.251600	19.645100
3406.625750	19.081100
3400.802967	19.451200
3409.751333	18.958500
3405.022483	19.533300
3407.285667	19.459300
3409.971933	19.287000
3409.895167	19.298500
3407.375033	19.466100
3406.460817	19.521700
3406.975950	19.499900
3402.247300	19.791200
3407.584550	19.616600
3406.085967	19.758400
3410.575733	19.535700
3405.520217	19.874500
3402.086100	20.125400
3410.860233	19.623900
3408.665250	19.762100
3407.949333	19.833900
3408.025583	19.851000
3402.602333	20.204400
3408.045350	20.082500
3413.206700	19.977800
3423.288433	19.417500
3417.876067	19.721500
3413.568717	20.000800
3410.064667	20.244700
3418.716400	19.752500
3419.981633	19.686000
3429.797200	19.123100
3426.049767	19.636300
3424.156867	19.802800
3426.443900	19.686800
3419.455067	20.115100
3420.801433	20.065200
3421.825683	20.015400
3428.261633	19.622100
3421.327317	20.057500
3435.253133	19.503600
3430.573400	19.848200
3422.438567	20.375800
3436.674217	19.507600
3436.756450	19.489400
3434.899633	19.629600
3437.608200	19.734200
3436.908350	19.777100
3442.515800	19.469300
3437.759700	19.759700
3436.158833	19.995900
3436.595050	20.051300
3436.376250	20.077700
3436.379300	20.108900
3436.009550	20.129300
3437.653317	20.051200
3444.973483	19.639800
3440.832283	19.896900
3441.508600	19.869500
3439.752700	19.988000
3439.246767	20.043100
3445.992683	19.660200
3446.289667	19.643500
3447.544267	19.582900
3448.456400	19.535600
3449.728200	19.471100
3441.943300	19.937300
3439.158167	20.631100
3454.517233	19.812000
3450.134183	20.145600
3457.416483	19.703400
3454.171683	19.901100
3461.947733	19.446300
3461.104533	19.769100
3461.303000	19.742900
3460.929983	19.791000
3461.595733	19.761000
3460.080467	19.961500
3460.427550	20.010200
3461.075700	20.048900
3457.068300	20.295200
3468.120383	19.679700
3466.987283	19.756200
3463.246850	20.016200
3467.184783	19.850700
3468.619533	19.769400
3461.409767	20.234200
3470.496267	19.729900
3473.430167	19.716700
3468.958000	20.058500
3469.655017	20.102200
3474.244850	19.801700
3466.151217	20.280400
3471.490383	19.971900
3475.053600	19.917200
3471.619117	20.181700
3471.638583	20.261700
3475.602533	20.051700
3472.782167	20.235400
3479.981050	19.812200
3482.572850	19.823300
3485.720500	19.640900
3479.182433	20.022300
3474.201217	20.301100
3483.727850	19.874300
3481.077183	20.101500
3488.891733	19.667700
3485.035383	19.921500
3483.852967	19.997500
3488.821700	19.737200
3490.977933	19.623900
3480.847483	20.422200
3495.721783	19.564200
3495.928483	19.563600
3496.436033	19.549200
3495.769967	19.765600
3492.935100	19.966700
3498.478817	19.693600
3490.110417	20.209900
3499.298533	19.689900
3497.881467	19.791400
3496.537417	19.969600
3499.510267	19.825900
3502.060183	19.791000
3503.505967	19.695700
3500.933650	19.850600
3494.926667	20.223700
3495.165750	20.263400
3503.271117	19.812700
3492.605500	20.524400
3507.153700	19.661000
3497.925967	20.232700
3502.096800	19.990100
3505.400850	19.884500
3506.907217	19.899100
3500.120333	20.360100
3506.128467	20.015200
3507.309083	20.007600
3514.613150	19.715300
3519.600167	19.438600
3518.785183	19.548300
3513.593383	19.881000
3515.552917	19.771900
3513.246050	19.900100
3503.972267	20.345500
3505.781967	20.237200
3502.492900	20.465000
3504.084050	20.399000
3506.618400	20.263700
3507.244467	20.259700
3508.088600	20.160800
3508.619467	20.121700
3505.590617	20.273500
3501.928017	20.491600
3507.899650	20.148200
3512.844083	19.851300
3509.500450	19.835600
3506.888817	19.972000
3506.260950	20.011700
3502.335933	20.240400
3502.588567	20.213200
3497.366167	20.497600
3505.623283	19.992300
3506.164833	19.953600
3503.099667	20.152000
3506.095417	19.965100
3513.540950	19.528100
3508.103817	19.843300
3513.424883	19.517400
3514.012217	19.462600
3509.408217	19.627300
3510.415117	19.287100
3508.994117	19.352200
3504.158033	19.645500
3505.985667	19.498300
3491.965033	20.207400
3495.554950	19.990700
3496.523450	19.945700
3497.509050	19.895000
3493.642633	20.068200
3503.775250	19.458800
3497.926983	19.789500
3496.943083	19.850400
3494.153217	19.997800
3493.765583	20.023800
3500.847367	19.615300
3498.618933	19.745100
3501.074267	19.612900
3496.742850	19.879700
3498.489833	19.698300
3497.577117	19.716100
3497.644133	19.681500
3497.580167	19.687600
3490.974667	20.078500
3498.001717	19.654300
3489.616067	20.153800
3496.923283	19.719000
3493.744917	19.803100
3485.767533	19.925100
3483.136133	20.079600
3488.182467	19.788400
3492.631467	19.479700
3490.320800	19.510400
3485.827617	19.774900
3484.455350	19.867700
3489.007200	19.605500
3490.145383	19.448700
3490.678367	19.408300
3488.197933	19.536900
3473.297183	20.417400
3480.248517	20.002900
3486.107583	19.644000
3487.912867	19.560700
3479.314183	20.076300
3500.387133	18.794400
3490.698700	19.347500
3482.498367	19.541200
3483.249200	19.397900
3483.639550	19.337300
3483.938483	19.332600
3472.106483	20.032800
3477.317933	19.733100
3486.546017	19.114600
3473.944817	19.704100
3474.978467	19.671700
3478.542533	19.460700
3475.981283	19.632300
3480.525617	19.344400
3471.166133	19.884000
3470.249100	19.861400
3477.406450	19.445000
3479.542233	19.302600
3475.572033	19.533600
3468.278267	19.831000
3472.743567	19.519300
3465.894967	19.930000
3471.799417	19.576000
3469.622000	19.725800
3474.672050	19.424000
3456.301683	20.318100
3465.778267	19.743100
3466.729000	19.691300
3473.363083	19.287600
3465.353683	19.703400
3464.386817	19.694200
3476.879983	18.928200
3472.748850	19.206200
3472.113100	19.226300
