#Y dist(nm)	Y force(pN)
0.000000	0.401400
-5.130467	0.686500
1.672817	0.260000
-0.938450	0.389400
-8.198967	0.708100
-7.596917	0.647500
-7.627333	0.628400
-13.168783	0.962000
-3.123767	0.376600
-5.856600	0.514200
-2.273350	0.085500
-7.761367	0.397000
-3.881800	0.143100
-10.569833	0.532100
-5.558650	0.106500
-15.973817	0.689500
-2.082950	-0.126900
-15.435700	0.631500
-15.891683	0.678200
-12.314150	0.452700
-19.957517	0.835000
-19.456967	0.698500
-11.487117	0.202000
-12.043617	0.241000
-22.389167	0.835000
-19.657850	0.665700
-17.310367	0.501700
-17.682100	0.351300
-14.857817	0.157600
-18.650750	0.364800
-21.478667	0.555700
-30.500350	0.958800
-21.597567	0.414100
-21.307567	0.373600
-26.447083	0.692600
-27.743900	0.777900
-31.544733	0.992300
-26.324400	0.498300
-28.497600	0.625800
-15.467533	-0.172300
-22.378800	0.229800
-25.435667	0.322600
-36.627567	0.931300
-34.193083	0.759500
-34.247483	0.777200
-31.486750	0.593100
-29.966367	0.494500
-39.884383	0.953600
-26.463133	0.113000
-29.050850	0.247800
-35.645733	0.631100
-35.204317	0.567400
-36.309383	0.497600
-36.389317	0.511000
-34.875867	0.387100
-35.435900	0.402000
-40.364533	0.674000
-37.715000	0.507000
-42.572650	0.595800
-42.583233	0.563900
-30.327783	-0.167200
-30.143033	-0.184600
-39.844950	0.255600
-39.703017	0.204100
-43.874733	0.415100
-45.212300	0.483600
-43.709217	0.387700
-38.350017	0.065200
-39.140283	-0.040900
-52.044217	0.653200
-43.118133	0.109100
-51.292500	0.587700
-48.499667	0.419500
-55.622517	0.831400
-51.891717	0.551500
-47.143333	0.147800
-49.914350	0.294000
-50.491767	0.321700
-47.316783	0.111200
-55.365633	0.445700
-55.997050	0.486000
-50.322067	0.114400
-53.307333	0.304100
-55.475133	0.415700
-52.390283	0.228500
-55.071133	0.174200
-57.541267	0.296500
-60.960900	0.485400
-60.349283	0.449300
-66.549517	0.701200
-55.648017	0.023500
-69.548667	0.843400
-67.775283	0.717200
-60.002217	0.247900
-64.378467	0.493600
-65.880067	0.500800
-66.298417	0.484300
-59.403317	0.064300
-68.801550	0.605400
-63.414917	0.277300
-67.685967	0.529600
-56.652967	-0.200300
-58.249333	-0.156400
-60.384433	-0.062500
-61.508217	-0.023300
-71.420383	0.428300
-67.813983	0.131900
-75.366817	0.571000
-80.172750	0.826200
-74.551250	0.501600
-71.763733	0.302600
-72.066100	0.286200
-74.897833	0.287000
-79.369367	0.556900
-81.351083	0.666200
-75.097600	0.270900
-81.163017	0.510100
-78.948433	0.349400
-74.010050	0.031800
-79.998117	0.393700
-83.166850	0.568200
-82.022950	0.501300
-82.815933	0.322400
-87.808550	0.636900
-94.812200	1.098000
-86.947817	0.619600
-89.954483	0.667400
-86.681067	0.429100
-93.763733	0.860900
-85.679067	0.340300
-88.035683	0.461600
-83.450800	0.177900
-88.913267	0.404200
-91.088983	0.421100
-97.252300	0.778500
-92.438667	0.493300
-94.303733	0.596900
-91.990717	0.477100
-95.835800	0.636600
-101.079717	0.820000
-95.069083	0.458300
-93.958633	0.401900
-94.475200	0.411300
-99.650167	0.595000
-97.779433	0.449300
-101.960283	0.678500
-95.230983	0.300200
-96.868200	0.372900
-99.601417	0.531400
-91.651533	-0.034000
-94.136417	0.102400
-94.132533	0.101300
-94.603217	0.095200
-108.172700	0.773700
-102.037017	0.376600
-102.052083	0.349400
-103.434600	0.422100
-103.579167	0.427000
-103.579983	0.409100
-93.345950	-0.324900
-101.261583	0.038300
-112.315733	0.617900
-108.567133	0.444800
-108.932483	0.434300
-106.391233	0.275600
-105.153050	0.117900
-111.165900	0.342900
-110.372733	0.282200
