#Y dist(nm)	Y force(pN)
3450.349867	20.080300
3462.728267	19.353700
3458.332250	19.692500
3470.743617	19.085800
3468.827033	19.215900
3470.162450	19.191800
3470.545767	19.184500
3463.112400	19.647500
3466.919300	19.451900
3472.280200	19.269800
3475.670017	19.097500
3467.413500	19.672100
3475.988517	19.188400
3477.586067	19.107400
3477.982833	19.098300
3473.116250	19.545800
3473.613233	19.524000
3468.809000	19.829000
3474.954650	19.497800
3480.910467	19.200100
3480.138050	19.277900
3481.067617	19.279600
3482.539300	19.192400
3478.248850	19.503200
3481.718350	19.322300
3486.634983	19.221900
3482.208717	19.492900
3490.022883	19.038300
3487.535717	19.210300
3479.182367	19.815400
3481.103783	19.811100
3483.785033	19.678200
3485.683500	19.631000
3490.755567	19.349500
3489.826217	19.406200
3496.626833	19.080300
3494.955567	19.246000
3493.054450	19.388900
3502.453600	18.963200
3496.952083	19.299900
3496.975100	19.313000
3496.685133	19.384500
3489.080700	19.858400
3495.786617	19.488700
3502.316133	19.084500
3500.499883	19.193100
3497.223117	19.491700
3497.084450	19.538000
3499.832133	19.419000
3489.319233	20.073600
3492.771000	19.867100
3493.496150	19.855100
3496.377217	19.860100
3500.361900	19.653800
3497.949317	19.807600
3508.884133	19.166100
3502.769000	19.704500
3501.977117	19.763800
3506.142750	19.574300
3501.472200	19.904300
3505.238183	19.751700
3509.319583	19.539900
3504.898483	19.812000
3506.439367	19.746400
3506.188767	19.802200
3506.750617	19.927600
3508.097667	19.855900
3504.849950	20.084900
3507.171667	19.971100
3511.886900	19.826300
3513.830233	19.732200
3513.050483	19.863600
3521.060867	19.422400
3517.717733	19.614000
3518.650617	19.556800
3517.395167	19.767400
3523.941550	19.403900
3513.782300	20.067500
3520.831767	19.661800
3509.950417	20.357500
3521.288767	19.691200
3513.294767	20.174800
3519.236567	19.848700
3524.048067	19.788400
3519.750367	20.071300
3524.634500	19.809800
3521.379933	20.073900
3524.472117	19.925500
3524.170617	19.964500
3526.705100	19.818800
3528.351300	19.754300
3529.518133	19.743600
3528.778767	19.904500
3525.982200	20.106800
3521.736000	20.382500
3529.864483	19.953600
3529.923783	20.067600
3533.104033	19.893300
3531.360750	20.093600
3533.743683	19.954200
3525.561917	20.440900
3530.246733	20.166000
3530.588033	20.274900
3531.827250	20.261600
3538.474333	19.830000
3531.538867	20.238400
3537.967217	19.880500
3537.304000	19.926500
3528.345850	20.465000
3539.930950	19.796900
3539.684217	19.573300
3531.950900	20.084300
3529.563417	20.220400
3535.122567	19.905700
3530.421200	20.150300
3532.210383	19.929300
3527.364117	20.211100
3529.901367	20.080900
3527.579267	20.216200
3521.697067	20.456200
3527.873917	20.085100
3523.129850	20.313500
3527.558167	20.070400
3522.695900	20.397500
3525.062000	20.263400
3528.643033	19.913100
3521.283350	20.321600
3520.962900	20.311100
3518.262950	20.468900
3525.927917	20.061100
3530.701917	19.744900
3530.654767	19.716400
3517.421267	20.497600
3532.164833	19.593300
3527.123500	19.890800
3533.132700	19.531400
3531.710217	19.615300
3528.388967	19.770400
3530.893100	19.499900
3530.153917	19.552300
3528.969200	19.614500
3530.171900	19.469900
3521.216933	19.893900
3520.864733	19.902600
3518.641333	20.002500
3516.643517	20.124700
3527.935333	19.455300
3526.813033	19.495500
3516.754933	20.006400
3521.539317	19.697200
3516.041683	19.994700
3519.148717	19.801000
3516.735200	19.967300
3522.644750	19.617500
3522.909383	19.445400
3518.628367	19.693000
3519.895917	19.617400
3514.227567	19.951000
3508.528200	20.201000
3513.938033	19.842600
3515.678833	19.667700
3519.302250	19.450100
3520.357967	19.403200
3521.108117	19.360300
3508.445450	20.022800
3512.957367	19.662100
3513.164567	19.643800
3516.207400	19.442600
3509.671650	19.766600
3509.978800	19.659200
3504.261967	19.997800
3508.351983	19.725000
3517.513067	19.172500
3517.015417	19.188100
3511.897983	19.487700
3511.583183	19.395000
3507.853117	19.573300
3509.812533	19.411500
3508.032400	19.506200
3507.404517	19.555000
3513.779467	19.178200
3502.301367	19.753900
3506.388233	19.473300
3493.971650	20.160800
3511.031067	19.161400
3504.331917	19.569400
3505.980283	19.459200
3507.801783	19.221900
3508.083950	19.143800
3501.542500	19.549100
3499.754033	19.678200
3506.424167	19.252000
3496.415350	19.694000
3496.000917	19.745800
3495.398433	19.813200
3499.300017	19.565500
