#Y dist(nm)	Y force(pN)
3855.641050	20.027700
3867.267083	19.349500
3874.012750	18.963300
3876.981067	18.916700
3876.568200	18.948000
3863.911700	19.738500
3864.492567	19.707800
3876.900467	19.033100
3872.460133	19.339900
3879.500317	19.003400
3875.262883	19.299400
3877.562200	19.200900
3872.105733	19.551700
3873.998300	19.551600
3879.954033	19.289500
3872.973483	19.747600
3882.615250	19.193700
3886.976133	18.988900
3883.479450	19.345200
3886.675417	19.216700
3883.734983	19.437700
3888.654967	19.156700
3890.307067	19.081100
3890.932317	19.065800
3887.316417	19.457900
3891.339383	19.248100
3897.223433	18.950200
3900.316983	18.801100
3893.648783	19.197700
3890.145417	19.408700
3889.334650	19.680900
3886.599950	19.863600
3883.679300	20.066400
3893.329467	19.498400
3899.229250	19.273500
3895.573750	19.577700
3901.727717	19.305800
3896.908117	19.624100
3894.280400	19.842600
3894.441867	19.839500
3907.601267	19.089800
3906.762333	19.183300
3902.712833	19.473700
3907.432683	19.234600
3906.535467	19.323800
3912.519367	19.000700
3905.707983	19.456300
3907.391017	19.523900
3906.173000	19.607400
3906.495733	19.591900
3910.859267	19.361300
3913.625250	19.330800
3901.335017	20.105900
3913.361533	19.460800
3917.824883	19.198900
3915.075683	19.396900
3912.932017	19.536200
3921.362617	19.114100
3922.831767	19.026200
3917.735150	19.353000
3907.011733	20.025100
3916.641900	19.648500
3913.291367	19.863800
3922.491867	19.388000
3924.018717	19.322900
3918.192600	19.690800
3914.403900	19.956900
3922.890767	19.493900
3915.354650	19.992300
3918.496083	19.961500
3926.717167	19.520300
3926.013250	19.599600
3923.074983	19.802800
3921.663300	19.921200
3913.997917	20.529800
3920.759867	20.180900
3932.351700	19.570500
3928.236217	19.833500
3932.616483	19.622500
3934.005867	19.583000
3940.840233	19.308700
3933.534117	19.762100
3936.411333	19.604800
3941.127767	19.344500
3934.600350	19.869000
3941.261817	19.512500
3949.341800	19.090800
3936.407383	19.879600
3928.420050	20.360100
3930.343867	20.249900
3936.267317	20.072000
3939.920233	19.913500
3940.396650	19.944000
3939.535017	20.013200
3938.331667	20.100500
3944.421267	19.771400
3939.218933	20.244700
3941.869650	20.114100
3950.062350	19.667700
3943.377450	20.054100
3957.227850	19.342500
3952.127633	19.717000
3950.800733	19.834600
3954.799667	19.641200
3959.862550	19.349100
3949.957483	19.967800
3948.000417	20.171300
3958.606833	19.575100
3961.965367	19.403900
3958.591550	19.635000
3957.699300	19.713000
3949.813067	20.219900
3951.021583	20.172700
3959.628683	19.724500
3956.060533	19.953100
3954.533767	20.242100
3962.258017	19.793600
3964.376183	19.668400
3957.349250	20.076900
3966.842800	19.702200
3957.343967	20.306300
3963.517050	19.971900
3960.642700	20.190900
3963.731833	20.126500
3967.536917	19.976600
3965.173483	20.130100
3959.687067	20.490500
3972.765150	19.721700
3961.836417	20.373800
3961.064500	20.460600
3968.102050	20.052000
3968.715033	19.976800
3964.074717	20.094800
3974.946050	19.441800
3972.094083	19.614700
3967.610000	19.864800
3960.115967	20.178500
3961.032367	20.108300
