#Y dist(nm)	Y force(pN)
0.000000	0.448700
-12.224567	1.163400
-0.182600	0.413300
-2.177917	0.479100
-6.047783	0.593200
2.118017	0.100000
-2.228950	0.332000
-1.126517	0.235800
-8.431733	0.664600
-14.599383	1.045000
-11.153150	0.790100
-6.956917	0.507000
-9.547383	0.610000
-12.762617	0.783300
-4.164300	0.268700
-7.976067	0.487200
-11.287883	0.537100
-13.443800	0.649400
-6.614717	0.177300
-18.741983	0.914200
-23.574567	1.191600
-11.369967	0.474300
-23.610550	1.134200
-31.260867	1.534800
-19.472400	0.786500
-12.153683	0.355600
-19.314050	0.773600
-13.332900	0.353000
-14.879733	0.423100
-21.706317	0.798600
-14.376517	0.359400
-12.166950	0.196400
-19.451317	0.624000
-21.119767	0.633600
-24.959333	0.857200
-22.900767	0.715800
-18.142100	0.441500
-25.646467	0.755700
-18.755050	0.334100
-18.272517	0.234000
-18.318000	0.221600
-21.849117	0.381900
-21.833683	0.395800
-20.046050	0.154700
-28.305600	0.595700
-25.766383	0.366100
-31.334717	0.700500
-25.789100	0.356300
-25.343233	0.302500
-28.227083	0.397600
-37.702700	0.964100
-31.477350	0.567800
-36.020250	0.827000
-41.514417	1.112400
-38.730750	0.943100
-41.202117	1.056900
-38.849183	0.850900
-42.418883	1.072000
-39.083033	0.885400
-42.808583	1.066900
-44.542617	0.992700
-41.982600	0.819800
-42.929633	0.853900
-47.487067	1.124400
-45.085633	0.839500
-43.036550	0.722000
-43.872233	0.735100
-44.623517	0.765600
-40.651283	0.454600
-44.234950	0.646700
-48.925917	0.941700
-33.587150	-0.001000
-47.940583	0.703900
-45.102200	0.499400
-45.480267	0.504900
-41.569217	0.229800
-47.914217	0.513000
-50.384200	0.694400
-54.079150	0.912500
-55.894233	1.009300
-55.470400	0.948800
-55.838067	0.945300
-54.609733	0.849400
-55.586733	0.853300
-51.588567	0.616200
-56.869733	0.871600
-55.878683	0.782500
-50.611467	0.456000
-54.759033	0.693400
-53.297850	0.455300
-52.951000	0.444800
-61.456800	0.922100
-58.909500	0.759200
-56.350267	0.492000
-65.964733	1.037500
-53.220200	0.232400
-64.253217	0.855300
-66.753450	0.978800
-63.088900	0.757100
-56.581900	0.324200
-61.103200	0.543200
-68.467600	0.932600
-57.222767	0.258300
-66.931967	0.817200
-62.389217	0.527400
-58.484767	0.251700
-58.176650	0.119000
-69.064333	0.744400
-69.501800	0.774500
-64.155233	0.438700
-64.878783	0.362200
-68.584667	0.555000
-69.563650	0.558500
-69.288500	0.543500
-67.631200	0.419900
-71.688800	0.653600
-70.120717	0.493200
-74.073583	0.709300
-70.343917	0.430800
-68.215217	0.286500
-68.623500	0.288800
-67.896167	0.219300
-78.092350	0.798500
-73.398600	0.490100
-74.455883	0.499000
-74.041217	0.458100
-87.649867	1.241700
-84.031867	1.032900
-77.552300	0.602600
-78.682083	0.581200
-77.071067	0.468900
-76.814700	0.450800
-78.268500	0.437300
-82.901967	0.657900
-79.682000	0.443600
-84.793133	0.701800
-89.142783	0.944800
-77.179633	0.215200
-83.350600	0.554000
-98.061400	1.335800
-94.760283	1.118800
-88.395133	0.691300
-91.620933	0.887800
-100.139783	1.382200
-92.062667	0.880800
-100.708783	1.400500
-86.782467	0.582300
-81.565917	0.198300
-79.786367	0.027000
-93.432067	0.788400
-85.511317	0.308400
-82.190883	0.064000
-83.088050	0.073700
-82.237000	0.003500
-93.515683	0.673600
-94.037217	0.555000
-93.747367	0.527400
-91.989783	0.429100
-92.027333	0.430300
-87.254233	0.103900
-91.497017	0.218700
-97.631033	0.559900
-91.678167	0.141000
-105.361850	0.926900
-98.514017	0.529200
-89.774567	-0.010800
-87.949083	-0.241700
-94.043633	0.087100
-89.898483	-0.187700
-106.072833	0.763000
-96.423467	0.152400
-105.497667	0.687600
-103.161667	0.460500
-108.435917	0.731100
-108.357867	0.666900
-99.700367	0.153300
-99.941417	0.138000
-105.343900	0.462500
-102.694350	0.237800
-110.620883	0.638200
-110.900750	0.653900
-111.727617	0.703200
-104.305400	0.233300
-112.189417	0.556200
-109.239400	0.373400
-111.885267	0.461400
-105.640667	0.099300
-110.059300	0.322100
-114.289400	0.556700
-116.304300	0.564800
-114.844667	0.459000
-106.352533	-0.050600
-105.385700	-0.133000
-108.100000	-0.053500
-112.640133	0.212500
-110.556100	0.003200
-114.951233	0.245500
-116.644300	0.312200
-116.203033	0.305800
-118.313983	0.346000
-118.414033	0.311200
-130.573583	0.985000
-127.421733	0.814900
-116.771250	0.142400
-124.094717	0.598200
-123.638633	0.514000
-120.825567	0.281700
-118.098850	0.098600
-125.888817	0.513600
-131.304350	0.830300
-122.141167	0.286800
-122.598083	0.245500
-125.700900	0.332600
-124.944083	0.270100
-125.461717	0.308400
-126.726633	0.327400
-125.154583	0.157600
-134.363217	0.700200
-129.761150	0.415700
-131.808550	0.518600
-136.231750	0.767900
-127.177600	0.188600
-135.249250	0.579200
-140.527467	0.876000
-130.858250	0.263900
-133.653050	0.414800
-134.799883	0.500500
-144.498833	1.056100
-136.032233	0.436600
-140.559000	0.671000
-134.214700	0.301100
-130.953317	0.085500
-130.687383	-0.042200
-136.758117	0.285300
-144.952033	0.754300
-139.240017	0.415500
-125.300717	-0.420600
-137.975900	0.303200
-129.349200	-0.277000
-132.885917	-0.170700
-134.960283	-0.078500
-140.070950	0.179600
-144.383017	0.442200
-149.351483	0.713500
-139.603100	0.115100
-145.687683	0.360400
-140.260417	0.039600
-143.673033	0.220900
-142.328983	0.108100
-149.382483	0.412300
-144.947050	0.146600
-145.149067	0.145800
-147.540800	0.282800
-148.399517	0.229800
-153.118533	0.502000
-148.887333	0.226300
-154.028300	0.510200
-151.857733	0.408100
-146.669200	0.065000
-152.877350	0.303200
-156.640267	0.535800
-155.586950	0.432800
-156.629333	0.478300
-150.390250	0.103100
-155.306450	0.341000
-152.876833	0.195100
-151.740133	0.120700
-160.363667	0.603900
-157.709883	0.344200
-157.705050	0.346700
-156.092233	0.221200
-162.350967	0.611400
-164.577433	0.630400
-158.653267	0.254700
-161.734683	0.396100
-159.564583	0.264700
-158.486817	0.189600
-149.325750	-0.379900
-153.445333	-0.185600
-159.081683	0.138400
-158.809967	0.025200
-164.420383	0.377200
-157.276150	-0.062500
-164.562600	0.353000
-162.686350	0.191600
-171.197150	0.614000
-162.838283	0.129100
-164.920317	0.234000
-165.902483	0.243100
-168.386467	0.318900
-166.253900	0.180200
-163.163583	-0.058700
-167.253667	0.160500
-163.943467	-0.039300
-164.666933	-0.024200
-167.538917	0.050400
-160.515367	-0.405300
-163.291617	-0.249900
-166.158100	-0.069700
-168.711467	0.016800
-179.509717	0.636000
-172.374517	0.198300
-182.517867	0.796200
-173.172817	0.275700
-175.547767	0.400800
-177.508683	0.414700
-179.572267	0.506700
-178.222167	0.380100
-181.446083	0.539800
-174.625250	0.111800
-181.730467	0.537900
-185.249483	0.642100
-185.094400	0.596300
-177.810317	0.144900
-184.595850	0.498800
-181.715400	0.320000
-174.291400	-0.121300
-182.932950	0.332900
-181.630950	0.161900
-178.022700	-0.058000
-182.841700	0.215600
-176.216900	-0.186100
-185.437283	0.306700
-186.742483	0.381100
-192.307000	0.698300
-187.573750	0.410000
-177.661917	-0.258600
-187.690700	0.310700
-180.685333	-0.171500
-188.276733	0.225400
-180.278367	-0.268500
-188.915733	0.236200
-193.410783	0.479800
-194.761700	0.547100
-187.830467	0.027000
-189.910600	0.130700
-194.126133	0.366100
-188.731017	0.037500
-201.838883	0.743800
-195.787950	0.321800
-185.476483	-0.322700
-194.995533	0.214600
-200.390517	0.530700
-192.824700	0.087500
-192.905000	0.063500
-189.819933	-0.130400
-192.157633	0.027700
-192.239900	0.006200
-194.819967	0.145800
-194.568450	0.122000
-193.020233	0.041800
-190.505450	-0.118000
-200.493400	0.426500
-197.907550	0.281000
-195.172400	0.117200
-193.182800	-0.005200
-195.013433	0.078100
-201.946300	0.501800
-203.927100	0.637100
-200.863100	-0.049000
-196.801350	-0.336700
-198.067033	-0.299300
-207.833017	0.272400
-211.480567	0.402900
-203.132200	-0.121300
-205.753783	0.025600
-210.120583	0.266800
-198.563300	-0.440800
-208.496933	0.144700
-201.966983	-0.254300
-202.699867	-0.216600
-206.061467	-0.127800
-206.516450	-0.233800
-216.243717	0.332700
-216.706117	0.391500
-219.538783	0.537100
-212.134950	0.084800
-217.383783	0.393400
-204.530050	-0.369100
-213.344683	0.117400
-208.519100	-0.346600
-217.507317	0.160800
-220.115700	0.280400
-215.268700	-0.022000
-217.074367	0.078000
-205.676233	-0.623900
-203.538150	-0.784300
-215.878167	-0.033600
-219.466650	0.173300
-217.178267	0.018300
-222.239150	0.172400
-222.449633	0.132700
-206.496367	-0.798300
-220.310117	-0.029400
-222.046467	0.097800
-225.870083	0.318700
-218.841100	-0.182800
-219.279783	-0.252800
-224.399183	0.023200
-226.870950	0.173600
-215.389933	-0.527900
-221.431667	-0.288900
-226.684533	-0.002900
-230.862717	0.227700
-221.165550	-0.363700
-230.088117	0.170700
-237.235967	0.601800
-230.139150	0.074900
-232.815767	0.206700
-234.172733	0.285100
-222.614350	-0.402400
-230.160683	0.016000
-229.066233	-0.052100
-238.991367	0.548700
-228.765183	-0.090200
-228.593367	-0.090900
-227.718267	-0.153900
-232.025067	-0.075300
-240.474650	0.348200
-236.942867	0.088200
-236.948283	0.114400
-239.363050	0.230600
-243.765250	0.505100
-240.542400	0.235400
-241.351917	0.209400
-241.144617	0.200400
-246.025800	0.483500
-236.943533	-0.091700
-243.470233	0.224800
-238.400033	-0.080600
-240.347317	0.005100
-244.824000	0.276200
-242.162117	0.118500
-248.186167	0.460500
-241.309833	-0.080300
-244.117583	0.066400
-242.854250	-0.022000
-240.087783	-0.200300
-242.664867	-0.075900
-235.004183	-0.527600
-237.975600	-0.376000
-242.140300	-0.136600
-246.693567	-0.024000
-239.381500	-0.490000
-244.245233	-0.199100
-247.594683	-0.003800
-246.220150	-0.057700
-245.537883	-0.112100
-248.080517	0.014700
-254.785367	0.419100
-246.283300	0.030500
-250.138867	0.305700
-251.366017	0.371400
-248.700517	0.219300
-247.610367	0.213600
-247.263850	0.228500
-246.930733	0.206200
-245.267500	0.108800
-244.486333	0.082900
-234.672850	-0.560500
-237.384667	-0.349800
-234.819833	-0.387800
-238.739450	-0.151900
-232.873850	-0.508000
-234.257900	-0.448300
-238.476150	-0.216100
-245.254133	0.184300
-244.068517	0.106500
-240.293600	-0.123700
-242.255450	0.019400
-238.249617	-0.213600
-239.712417	-0.138600
-240.685683	-0.090500
-236.552567	-0.307800
-236.253950	-0.347800
-242.143883	-0.025100
-239.619767	-0.170700
-232.638117	-0.270300
-229.848867	-0.401700
-233.873567	-0.156900
-234.742967	-0.102000
-238.618133	0.184000
-234.558750	-0.015700
-232.484867	-0.168900
-236.650983	0.115000
-240.428883	0.322900
-231.494833	-0.203600
-239.115850	0.274400
-240.191050	0.435200
-237.078233	0.257500
-233.707600	0.053900
-237.493883	0.266500
-232.069567	-0.046500
-238.208233	0.309700
-230.874417	-0.140100
-216.843417	-0.981000
-234.064417	0.239100
-235.496900	0.333200
-229.463083	-0.044900
-233.047733	0.182200
-234.721200	0.353300
-234.819750	0.354800
-226.646417	-0.105900
-228.751100	0.016700
-235.870600	0.411800
-226.512667	-0.158400
-234.192000	0.421100
-230.584550	0.250100
-229.001783	0.133300
-231.221067	0.268500
-225.308133	-0.065900
-227.758717	0.075600
-210.113667	-0.866400
-224.562067	0.002100
-228.916050	0.253400
-230.560917	0.371400
-224.173833	0.040900
-223.828883	0.068200
-226.376917	0.203100
-221.526817	-0.076500
-226.919833	0.226000
-224.881450	0.107600
-219.879250	-0.165100
-222.062450	0.008600
-218.280417	-0.222000
-222.499433	0.021100
-221.498183	-0.050000
-222.955750	0.137000
-221.687917	0.069300
-221.558017	0.092100
-216.952400	-0.196600
-221.249567	0.066600
-230.923500	0.642200
-222.591867	0.278700
-227.955633	0.634900
-224.106117	0.401100
-225.689517	0.525300
-219.077833	0.110200
-221.851367	0.293400
-214.449100	-0.142600
-216.544583	-0.029900
-213.124833	-0.191300
-215.721117	0.014400
-219.598883	0.250000
-215.488050	0.013400
-206.113300	-0.540400
-218.595967	0.184500
-220.672717	0.343500
-216.181733	0.064300
-221.975917	0.427500
-218.112700	0.411800
-213.979033	0.158800
-214.920483	0.225400
-213.026150	0.119300
-215.875383	0.315400
-214.159683	0.196600
-209.631450	-0.079000
-217.393550	0.375800
-214.356333	0.406900
-212.699550	0.326600
-216.298400	0.533300
-210.890533	0.207400
-214.353700	0.500000
-207.237217	0.120900
-205.661117	0.027000
-213.451083	0.487600
