#Y dist(nm)	Y force(pN)
4038.055067	20.122300
4059.859633	18.848700
4066.277650	18.541400
4065.402117	18.621700
4053.837200	19.372400
4065.883900	18.657500
4065.177433	18.691200
4062.896417	18.852700
4059.371800	19.239500
4063.704500	19.041800
4057.620850	19.517900
4063.141967	19.209700
4063.486700	19.224800
4062.727483	19.271100
4071.773567	18.946600
4062.488983	19.498200
4066.232517	19.321600
4064.801817	19.421800
4064.819733	19.567200
4064.581633	19.657200
4081.597800	18.710300
4069.393267	19.452700
4067.921167	19.594300
4072.126717	19.349800
4070.135517	19.502800
4074.621867	19.321000
4072.611367	19.482100
4074.844750	19.412000
4076.083000	19.344500
4075.493850	19.390100
4074.638167	19.497700
4070.687100	19.878200
4085.716150	18.993800
4077.223783	19.533000
4081.981233	19.311900
4079.658700	19.608500
4083.181533	19.437000
4087.700267	19.236700
4083.085533	19.530600
4085.422583	19.424100
4087.811317	19.294600
4091.654850	19.227200
4086.856367	19.551100
4095.502150	19.114400
4090.474283	19.408200
4091.197850	19.381400
4093.128317	19.283500
4105.012933	18.744600
4097.733383	19.199400
4091.705067	19.562800
4093.062517	19.492900
4089.956517	19.763200
4090.868000	19.835000
4096.925533	19.517400
4094.766800	19.694000
4100.827633	19.355100
4090.036700	20.016500
4088.092883	20.196600
4094.267717	19.963300
4108.154700	19.159400
4095.086417	20.000200
4097.441400	19.874300
4107.290033	19.283700
4103.853700	19.489400
4099.591100	19.823300
4103.466000	19.601000
4102.652017	19.695700
4096.417150	20.094800
4111.986833	19.230900
4102.493900	19.833800
4117.309900	19.033100
4108.686400	19.584500
4105.352567	19.849600
4111.124533	19.525500
4112.178933	19.682400
4114.003617	19.629700
4113.856467	19.674700
4115.940800	19.553000
4115.983783	19.635300
4114.758417	19.842400
4109.712767	20.182600
4115.301150	19.880000
4123.154767	19.399900
4120.378933	19.585800
4117.227317	19.807900
4119.219100	19.846100
4114.818450	20.146100
4119.477133	19.907400
4115.399133	20.162100
4128.929700	19.367000
4126.874667	19.502500
4129.225683	19.540800
4133.682700	19.314800
4122.318933	19.971900
4124.310133	19.899300
4138.016633	19.232100
4134.329150	19.510400
4136.884133	19.405500
4131.972317	19.723300
4132.005150	19.758200
4126.600083	20.101800
4121.208533	20.609700
4129.979650	20.107700
4140.537833	19.497300
4132.621167	19.975900
4137.422733	19.800900
4140.156233	19.709700
4137.363167	19.935700
4137.436400	19.990700
4147.241733	19.416000
4143.194783	19.667100
4146.097300	19.537100
4145.153800	19.738100
4149.502200	19.502300
4144.847083	19.858800
4134.111867	20.521900
4140.726033	20.145300
4146.885000	19.784600
4148.337433	19.865100
4148.157533	19.897800
4153.430333	19.576200
4145.280133	20.052600
4151.400533	19.852800
4147.258550	20.162900
4153.451933	19.870500
4149.691967	20.093200
4150.585883	20.010000
4150.685750	20.020700
4156.177083	19.820700
4159.132933	19.726800
4151.741217	20.234200
4152.367783	20.200500
4150.793050	20.327900
4156.930717	19.960300
4151.663400	20.188700
4149.505067	20.339800
4158.570333	19.781700
4158.474600	19.804100
4162.620550	19.527200
4156.107183	19.827900
4157.399767	19.753900
4159.354550	19.595600
4158.517083	19.633800
4158.211667	19.627000
4160.430117	19.503100
4164.750783	19.257000
4159.246200	19.571600
4160.872767	19.486900
4157.866433	19.667700
4155.760683	19.590000
4154.294483	19.698600
4151.552850	19.902200
4146.651817	20.197900
4150.293333	19.985400
4150.311783	19.989000
4146.828233	20.232600
4155.124550	19.737200
4151.684533	19.739400
4151.203900	19.703300
4148.930917	19.845400
4158.169350	19.295600
4147.952467	19.812400
4148.144833	19.758000
4151.205033	19.589100
4150.651450	19.619000
4152.002000	19.557200
4150.304833	19.659900
4150.316833	19.572600
4154.853400	19.130000
4153.527033	19.158300
4153.355750	19.191800
4147.342133	19.553400
4151.453567	19.310500
4156.171433	19.027800
4148.100467	19.521700
4139.837217	20.034100
4152.000833	19.332600
4143.142400	19.814600
4141.361883	19.593300
4148.105767	19.180000
4137.676300	19.797500
4139.827067	19.669600
4139.011117	19.594300
4138.395400	19.630100
4142.812133	19.394400
4138.033233	19.677600
4144.111917	19.265200
4144.934433	19.206900
4153.864117	18.677500
4143.459717	19.301800
4148.658550	19.012100
4139.011683	19.596900
4144.397533	19.090800
4131.765333	19.833600
4131.573750	19.835600
4128.387200	20.030300
4128.603767	19.867000
4132.904500	19.598900
4137.809233	19.311900
4132.498900	19.609400
4133.983467	19.443400
4128.225583	19.701300
4133.502300	19.381700
4127.682400	19.751000
4127.803917	19.728400
4130.583700	19.444400
4127.476550	19.623200
4131.377083	19.403400
4130.614583	19.455300
4130.925833	19.444200
4118.060500	20.228600
4119.939650	20.145800
4127.086917	19.727200
4125.968650	19.799600
4131.474100	19.467800
4127.953550	19.374800
4127.511550	19.298900
4130.593783	19.077300
4125.769400	19.359800
4121.242617	19.623700
4128.470200	19.202000
4124.901350	19.420700
4120.725467	19.666600
4128.200333	19.129800
4125.147567	19.213000
4119.760467	19.516000
4122.222600	19.376000
4123.078350	19.315100
4117.432100	19.498400
4110.837050	19.899200
4115.112617	19.668400
4115.099933	19.679100
4117.716450	19.347800
4111.009633	19.755600
4113.655183	19.617600
4108.821367	19.934500
4118.232750	19.346000
4117.640050	19.347800
4120.591967	19.171600
4120.483550	19.143200
4105.543867	19.885900
4111.202683	19.527900
4108.604350	19.690700
4112.612417	19.439800
4113.199083	19.299600
4110.539400	19.396100
4120.420133	18.785100
4116.462383	19.010100
4114.425683	19.142400
4111.762733	19.287600
4109.711233	19.405500
4117.791133	18.906900
4116.172917	19.003900
4111.310500	19.284500
4116.956000	18.912500
4103.049500	19.354700
4108.329067	19.040800
4103.841517	19.300600
4106.247233	19.162500
4108.466083	18.886800
4105.680150	19.058600
4100.416117	19.386400
4097.197600	19.595600
4101.710767	19.157200
4102.715483	19.099500
4101.743083	19.160700
4093.052533	19.687800
4091.569067	19.680700
4099.819533	19.145100
4097.931283	19.249500
4093.635517	19.509700
4094.957900	19.418600
4104.016200	18.881000
4097.876367	19.269100
4102.101600	19.022900
4095.200450	19.434500
4099.221767	19.198600
4097.595917	18.922900
4088.582000	19.466600
4097.034033	18.962700
4096.312367	19.000300
4097.683483	18.881700
4097.964383	18.744000
4099.672683	18.645000
4098.136933	18.710700
4096.223383	18.834300
4081.929750	19.689500
4090.625217	19.190800
4088.818800	19.305500
4086.969517	19.428700
4089.848967	19.134700
4080.524800	19.683500
4083.314433	19.524600
4086.137983	19.345200
4090.111817	19.083400
