#Y dist(nm)	Y force(pN)
0.000000	0.544500
1.177767	0.461900
2.920267	0.276200
-2.464033	0.501200
3.979583	0.075400
3.900200	0.007200
-3.956367	0.456100
3.087750	-0.007800
-8.106733	0.614000
-20.365217	1.210000
-5.709233	0.339500
-8.387550	0.473100
-10.427767	0.570700
-3.860367	0.053200
-15.520667	0.712300
-15.970133	0.643100
-15.731517	0.637000
-7.283333	0.149300
-11.221517	0.366100
-13.972933	0.425300
-12.134600	0.248100
-25.957917	0.985000
-20.319817	0.715600
-17.116117	0.524200
-14.269783	0.345200
-6.746650	-0.191400
-7.218433	-0.249100
-18.715433	0.383600
-24.084150	0.679200
-20.530117	0.454600
-26.802383	0.720200
-30.101117	0.894100
-14.733250	-0.068700
-22.133417	0.379300
-19.562200	0.203100
-25.625367	0.535900
-30.326517	0.755500
-31.537133	0.824900
-26.648467	0.468400
-27.125383	0.488000
-24.770200	0.331800
-30.967167	0.700900
-25.006650	0.183300
-37.959167	0.921400
-34.014133	0.677300
-32.209067	0.581500
-31.344450	0.411300
-37.666550	0.750600
-25.488317	-0.058700
-35.588517	0.549100
-34.737267	0.484300
-39.149867	0.723400
-39.362100	0.642600
-45.127150	0.929700
-35.306083	0.340400
-40.585733	0.577400
-35.456567	0.256600
-37.452067	0.369100
-45.766733	0.852500
-35.087333	0.087200
-39.868750	0.350400
-48.336850	0.742800
-43.785483	0.474500
-37.267200	0.049200
-40.757067	0.236800
-45.839317	0.442600
-44.006117	0.322900
-49.791700	0.644100
-46.656650	0.431400
-57.031783	0.965000
-55.527833	0.819800
-41.152817	-0.077900
-50.068717	0.424900
-42.048133	-0.064000
-48.685467	0.298900
-48.852333	0.283100
-51.444733	0.398300
-60.092600	0.886800
-63.467717	1.027000
-52.000300	0.339900
-48.677417	0.106000
-48.509450	0.077700
-57.515517	0.482800
-61.311450	0.676800
-61.153100	0.650400
-60.322917	0.592900
-57.758717	0.436300
-54.866200	0.237300
-52.107317	-0.108200
-54.221633	-0.002800
-63.977133	0.543200
-57.854583	0.154100
-61.236433	0.271100
-59.564217	0.124900
-57.643933	-0.053500
-56.616900	-0.157200
-62.827300	0.192300
-69.718317	0.592300
-79.295317	1.006000
-76.451167	0.829000
-69.116750	0.401400
-66.140417	0.209500
-68.770433	0.334700
-67.336250	0.202200
-58.301283	-0.352000
-76.695767	0.694000
-74.416100	0.558000
-77.112950	0.716700
-74.755950	0.555900
-72.644700	0.301800
-75.862133	0.454400
-75.862017	0.412600
-77.661883	0.479600
-73.256650	0.226500
-76.002983	0.364700
-74.744967	0.124900
-82.985317	0.591700
-85.729733	0.729800
-86.715917	0.800800
-87.394150	0.769500
-81.200600	0.311400
-84.608350	0.504000
-91.020867	0.874600
-80.085767	0.215200
-81.415483	0.280100
-79.916333	0.131600
-83.163400	0.221700
-83.356833	0.193700
-81.423600	0.017700
-85.610350	0.238800
-83.475700	0.096000
-79.187683	-0.190600
-85.128667	0.005200
-91.854917	0.397600
-84.684867	-0.092300
-90.277733	0.222500
-92.885483	0.367400
-92.789633	0.362900
-92.077583	0.207500
-94.838550	0.339900
-89.278400	-0.024600
-93.283017	0.223900
-99.646950	0.493800
-98.916350	0.404400
-104.723300	0.686100
-99.134933	0.356900
-99.628400	0.402900
-102.232283	0.539900
-105.210483	0.650900
-117.347050	1.315200
-107.550067	0.721300
-100.515683	0.273800
-108.353367	0.725800
-106.521200	0.630900
-100.440050	0.247500
-110.782333	0.730400
-117.692083	1.135100
-115.796417	1.027000
-114.023350	0.917700
-107.712367	0.417400
-109.152383	0.464600
-115.633833	0.784400
-116.192833	0.819500
-115.052817	0.746800
-112.453183	0.566900
-108.695000	0.264900
-113.172767	0.512200
-114.652450	0.552900
-106.943400	0.069300
-116.302733	0.592700
-114.718917	0.508300
-114.442983	0.324200
-113.236833	0.239600
-115.299083	0.321200
-115.568167	0.337900
-113.605533	0.139100
-121.692400	0.519300
-114.284183	0.047900
-116.698733	0.134600
-112.843983	-0.123700
-121.573067	0.358300
-113.381950	-0.158400
-119.150283	0.065900
-120.999083	0.131600
-119.175083	-0.038200
-119.767933	-0.021100
-122.669750	0.158100
-126.668650	0.392400
-117.388383	-0.312700
-131.534167	0.512200
-138.729250	0.929100
-132.203767	0.558700
-130.509650	0.339900
-128.711717	0.178600
-130.413900	0.240300
-131.642333	0.332000
-116.857283	-0.539500
-121.575750	-0.299100
-135.423733	0.470000
-134.329917	0.320500
-129.943133	0.013700
-132.093000	0.089700
-131.525783	0.043400
-132.280583	0.087500
-133.996267	0.157300
-130.599567	-0.174800
-138.172350	0.275700
-140.985600	0.440400
-140.854200	0.396900
-144.904233	0.530000
-137.998700	0.109500
-135.157683	-0.093700
-142.406850	0.305100
-148.382750	0.675600
-138.525000	0.082200
-151.796500	0.746400
-151.079967	0.670300
-147.916500	0.426000
-142.435400	0.088200
-144.154217	0.142600
-145.211867	0.178600
-151.568350	0.511200
-152.495050	0.534600
-152.860967	0.528700
-150.900267	0.437500
-146.584350	0.052200
-153.217350	0.370500
-145.689883	-0.106900
-153.863983	0.347600
-159.675733	0.617900
-156.621683	0.497300
-153.239067	0.284800
-158.679167	0.553000
-162.827800	0.767400
-166.359633	0.935000
-158.026183	0.416600
-156.089800	0.272400
-155.262533	0.196700
-159.894283	0.345200
